epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.861,0.92501,2.19442,1.26053,0.68032,0.64658,0.69565,0.48708,0.90396,1.61388,1.26855,0.00332691,0.00332691,0.00332691
2,390.874,1.05668,1.78266,1.33443,0.54996,0.58299,0.55032,0.35743,1.19822,1.69584,1.52048,0.00659431,0.00659431,0.00659431
3,575.184,1.24832,1.88606,1.47612,0.38949,0.38566,0.31629,0.15308,1.58639,2.42008,1.97848,0.0097957,0.0097957,0.0097957
4,758.154,1.38159,1.92251,1.56213,0.50782,0.58845,0.54296,0.3169,1.31361,1.69726,1.59005,0.009703,0.009703,0.009703
5,942.249,1.34246,1.81282,1.54922,0.5691,0.4827,0.5154,0.28883,1.36732,1.75268,1.68371,0.009604,0.009604,0.009604
6,1125.57,1.29018,1.72124,1.49919,0.60442,0.51702,0.53743,0.3218,1.25456,1.75657,1.6052,0.009505,0.009505,0.009505
7,1307.78,1.2494,1.63104,1.47496,0.61748,0.59447,0.63168,0.4003,1.1663,1.44225,1.49808,0.009406,0.009406,0.009406
8,1491,1.22063,1.56506,1.45956,0.65455,0.60488,0.634,0.42002,1.11962,1.38142,1.4806,0.009307,0.009307,0.009307
9,1672.84,1.19039,1.51452,1.42909,0.65597,0.65658,0.67832,0.45688,1.05275,1.3174,1.39987,0.009208,0.009208,0.009208
10,1854.21,1.17198,1.49252,1.42142,0.64266,0.6336,0.67542,0.46253,1.08237,1.24293,1.42704,0.009109,0.009109,0.009109
11,2032.57,1.14885,1.4378,1.40167,0.71743,0.67059,0.72229,0.48894,1.04957,1.2448,1.38576,0.00901,0.00901,0.00901
12,2208.32,1.1482,1.42646,1.39782,0.63869,0.67731,0.69441,0.47347,1.0449,1.2732,1.37444,0.008911,0.008911,0.008911
13,198.392,1.12112,1.3827,1.38148,0.78892,0.63358,0.73629,0.5058,0.99165,1.13804,1.34803,0.008812,0.008812,0.008812
14,387.108,1.10886,1.37121,1.37799,0.74938,0.68219,0.7542,0.53196,0.99364,1.12542,1.36586,0.008713,0.008713,0.008713
15,574.764,1.10163,1.33705,1.36997,0.78864,0.68072,0.77107,0.55422,0.95156,1.04444,1.30543,0.008614,0.008614,0.008614
16,758.814,1.08654,1.32589,1.35478,0.7535,0.70342,0.77313,0.5561,0.95875,1.05693,1.30835,0.008515,0.008515,0.008515
17,951.046,1.07605,1.29245,1.35171,0.74195,0.71946,0.77961,0.54912,0.93919,1.04876,1.29401,0.008416,0.008416,0.008416
18,1133.86,1.05968,1.2758,1.33171,0.78281,0.71237,0.7811,0.5594,0.96279,1.0269,1.30471,0.008317,0.008317,0.008317
19,1315.73,1.05415,1.24717,1.33394,0.72611,0.75667,0.79297,0.58808,0.87077,0.97994,1.24218,0.008218,0.008218,0.008218
20,1496.91,1.03787,1.23117,1.32209,0.76046,0.75456,0.80764,0.58641,0.8889,0.95895,1.26132,0.008119,0.008119,0.008119
21,1678.65,1.02826,1.21902,1.3138,0.77148,0.76506,0.81591,0.60133,0.9079,0.90663,1.27342,0.00802,0.00802,0.00802
22,1861.56,1.02317,1.20495,1.3116,0.75921,0.74612,0.80713,0.60799,0.87713,0.93046,1.25539,0.007921,0.007921,0.007921
23,2040.66,1.01656,1.18316,1.30227,0.76501,0.73953,0.80264,0.61013,0.85612,0.94422,1.2207,0.007822,0.007822,0.007822
24,2219.38,1.01417,1.18023,1.29584,0.78338,0.73206,0.80001,0.60443,0.84626,0.9553,1.22452,0.007723,0.007723,0.007723
25,2400.53,1.01968,1.17258,1.30178,0.82141,0.71478,0.81317,0.60691,0.90245,0.91547,1.27178,0.007624,0.007624,0.007624
26,2581.06,1.00907,1.16514,1.29748,0.78262,0.74242,0.82296,0.62451,0.8454,0.88584,1.21282,0.007525,0.007525,0.007525
27,2762.7,1.00621,1.15732,1.29448,0.7928,0.76024,0.82836,0.6147,0.88161,0.86215,1.24438,0.007426,0.007426,0.007426
28,2940.62,0.99492,1.13444,1.28769,0.83833,0.75718,0.8234,0.62213,0.85018,0.85736,1.22316,0.007327,0.007327,0.007327
29,3119.52,0.99008,1.13991,1.287,0.83799,0.72759,0.81816,0.62241,0.8442,0.85576,1.21679,0.007228,0.007228,0.007228
30,3301.38,0.97831,1.10707,1.27657,0.87025,0.7366,0.8399,0.63229,0.83576,0.82324,1.21495,0.007129,0.007129,0.007129
31,3485.03,0.98614,1.11462,1.27762,0.81021,0.75314,0.82786,0.63414,0.82105,0.84181,1.21053,0.00703,0.00703,0.00703
32,3668.92,0.97433,1.11024,1.27592,0.82558,0.77247,0.84963,0.6464,0.83291,0.80145,1.21662,0.006931,0.006931,0.006931
33,3850.78,0.96758,1.0783,1.26683,0.85941,0.74694,0.83861,0.63677,0.83067,0.81536,1.20554,0.006832,0.006832,0.006832
34,4028.8,0.95972,1.08418,1.26414,0.88578,0.75125,0.86044,0.64857,0.80062,0.79137,1.17937,0.006733,0.006733,0.006733
35,4206.47,0.96122,1.05383,1.26443,0.85455,0.76483,0.83113,0.6281,0.83316,0.80728,1.19487,0.006634,0.006634,0.006634
36,4383.68,0.95061,1.06053,1.25996,0.81755,0.78966,0.85007,0.66192,0.80909,0.77941,1.1933,0.006535,0.006535,0.006535
37,196.245,0.938,1.03116,1.2462,0.86599,0.76942,0.85433,0.6508,0.80514,0.77944,1.18939,0.006436,0.006436,0.006436
38,388.514,0.93727,1.04265,1.24794,0.85053,0.77611,0.85388,0.65636,0.79745,0.77605,1.17266,0.006337,0.006337,0.006337
39,578.519,0.93283,1.01752,1.24795,0.86193,0.79024,0.85366,0.65396,0.81075,0.76214,1.19494,0.006238,0.006238,0.006238
40,770.409,0.93129,1.02102,1.24026,0.82569,0.82621,0.8582,0.66634,0.79374,0.74343,1.17943,0.006139,0.006139,0.006139
41,202.658,0.879,0.9352,1.20592,0.86856,0.78621,0.85847,0.65672,0.8025,0.77323,1.1883,0.00604,0.00604,0.00604
42,401.542,0.87509,0.93831,1.20431,0.87026,0.77692,0.86794,0.67474,0.77727,0.73557,1.16486,0.005941,0.005941,0.005941
43,599.117,0.87162,0.91095,1.20345,0.85354,0.78849,0.85458,0.66138,0.80422,0.72755,1.19556,0.005842,0.005842,0.005842
44,791.458,0.88039,0.93195,1.20647,0.87339,0.79664,0.85869,0.67683,0.77748,0.73697,1.16022,0.005743,0.005743,0.005743
45,987.194,0.92531,0.9842,1.24069,0.86106,0.80015,0.86243,0.66887,0.77893,0.71746,1.16677,0.005644,0.005644,0.005644
46,1182.61,0.914,0.97682,1.22595,0.84333,0.80177,0.86045,0.67092,0.7748,0.73732,1.15776,0.005545,0.005545,0.005545
47,1376.93,0.90479,0.9607,1.2242,0.90428,0.79308,0.87265,0.69131,0.75044,0.70239,1.1404,0.005446,0.005446,0.005446
48,1565.54,0.90309,0.95964,1.22446,0.86494,0.79731,0.85987,0.67401,0.77859,0.73175,1.16368,0.005347,0.005347,0.005347
49,1754.72,0.89386,0.95034,1.21331,0.86322,0.81075,0.87042,0.68456,0.7681,0.70589,1.15328,0.005248,0.005248,0.005248
50,1946.17,0.89463,0.94847,1.21533,0.85149,0.8121,0.86683,0.68376,0.77257,0.71826,1.15174,0.005149,0.005149,0.005149
51,205.143,0.83764,0.86243,1.17691,0.8858,0.81799,0.87511,0.67936,0.77159,0.6996,1.15767,0.00505,0.00505,0.00505
52,401.482,0.83795,0.86945,1.17725,0.88159,0.81286,0.87777,0.69401,0.75165,0.67014,1.14426,0.004951,0.004951,0.004951
53,598.501,0.82966,0.84088,1.17457,0.86946,0.81478,0.85888,0.66975,0.76551,0.70413,1.15239,0.004852,0.004852,0.004852
54,795.39,0.83674,0.84622,1.17467,0.89743,0.82078,0.86854,0.67771,0.77953,0.67981,1.16537,0.004753,0.004753,0.004753
55,990.016,0.86246,0.8712,1.19697,0.87598,0.8328,0.87309,0.68123,0.76116,0.67341,1.14987,0.004654,0.004654,0.004654
56,1184.88,0.84366,0.86033,1.17872,0.88522,0.8352,0.87057,0.68889,0.75273,0.68322,1.13643,0.004555,0.004555,0.004555
57,1379.13,0.8401,0.85185,1.1822,0.88308,0.81433,0.87092,0.68616,0.75183,0.68318,1.15028,0.004456,0.004456,0.004456
58,1603.99,0.83789,0.84791,1.17916,0.881,0.82674,0.87374,0.69232,0.74545,0.68768,1.14276,0.004357,0.004357,0.004357
59,1800.38,0.83796,0.84857,1.17897,0.88862,0.80509,0.86917,0.68396,0.75719,0.69338,1.14475,0.004258,0.004258,0.004258
60,1994.6,0.83775,0.8553,1.18213,0.87567,0.81499,0.87003,0.68011,0.76125,0.68782,1.1607,0.004159,0.004159,0.004159
61,2190.4,0.86195,0.87587,1.19469,0.87963,0.80841,0.87301,0.68324,0.74793,0.6926,1.14462,0.00406,0.00406,0.00406
62,2386.21,0.85468,0.87815,1.18559,0.88553,0.81131,0.87105,0.68232,0.74683,0.69844,1.14182,0.003961,0.003961,0.003961
63,2582.78,0.85956,0.87252,1.18682,0.9158,0.8095,0.87118,0.69039,0.74981,0.66906,1.14385,0.003862,0.003862,0.003862
64,2781.82,0.84799,0.86679,1.18323,0.91729,0.80991,0.87723,0.68997,0.75479,0.66317,1.14918,0.003763,0.003763,0.003763
65,2973.4,0.84699,0.86368,1.18239,0.87958,0.83705,0.87706,0.6945,0.7575,0.65563,1.15774,0.003664,0.003664,0.003664
66,3168.28,0.83753,0.84573,1.17824,0.8849,0.83269,0.87277,0.69388,0.73391,0.64729,1.13928,0.003565,0.003565,0.003565
67,3363.98,0.83288,0.85054,1.17605,0.9197,0.80069,0.87738,0.69874,0.73822,0.64522,1.14197,0.003466,0.003466,0.003466
68,3568.31,0.8273,0.83092,1.17124,0.89946,0.83775,0.87759,0.69051,0.73744,0.65446,1.13806,0.003367,0.003367,0.003367
69,3771.4,0.83332,0.83146,1.17147,0.87428,0.83129,0.88073,0.69519,0.73126,0.64565,1.13019,0.003268,0.003268,0.003268
70,3968.07,0.82317,0.83128,1.16676,0.90565,0.81859,0.87983,0.69658,0.73392,0.65122,1.13337,0.003169,0.003169,0.003169
71,4164.65,0.8221,0.81606,1.16539,0.92483,0.80358,0.88643,0.69779,0.74977,0.64499,1.14931,0.00307,0.00307,0.00307
72,4364.47,0.81477,0.81122,1.1639,0.91453,0.80225,0.88592,0.7001,0.74888,0.64964,1.1486,0.002971,0.002971,0.002971
73,4561.13,0.81837,0.79596,1.164,0.90956,0.82939,0.88465,0.70004,0.73768,0.63451,1.14282,0.002872,0.002872,0.002872
74,4758.73,0.80896,0.79937,1.15727,0.91931,0.82067,0.88554,0.69733,0.73548,0.63938,1.13312,0.002773,0.002773,0.002773
75,4956.97,0.8187,0.7985,1.16112,0.91033,0.82251,0.88755,0.70611,0.71987,0.6373,1.12024,0.002674,0.002674,0.002674
76,5150.09,0.81415,0.79959,1.16411,0.8878,0.82491,0.88827,0.70547,0.72471,0.62927,1.12823,0.002575,0.002575,0.002575
